42860,Childrens Day
42933,Marine Day
42958,Mountain Day
42996,Respect for the Aged Day
43001,Autumnal Equinox
43017,Sports Day
43042,Culture Day
43062,Labour Thanksgiving Day
43092,Emperor's Birthday
43100,New Year's Eve
43101,New Year
43102,New Year
43103,New Year
43108,Adults' Day
43143,Mon after National Foundation Day
43180,Vernal Equinox
43220,Mon after Showa Day
43223,Constitution Memorial Day
43224,Greenery Day
43225,Childrens Day
43297,Marine Day
43323,Mountain Day
43360,Respect for the Aged Day
43367,Mon after Autumnal Equinox
43381,Sports Day
43407,Culture Day
43427,Labour Thanksgiving Day
43458,Mon after Emperor's Birthday
43465,New Year's Eve
43466,New Year
43467,New Year
43468,New Year
43479,Adults' Day
43507,National Foundation Day
43545,Vernal Equinox
43584,Showa Day
43588,Constitution Memorial Day
43589,Greenery Day
43591,Mon after Childrens Day
43661,Marine Day
43688,Mountain Day
43724,Respect for the Aged Day
43731,Autumnal Equinox
43752,Sports Day
43773,Mon after Culture Day
43792,Labour Thanksgiving Day
43822,Emperor's Birthday
43830,New Year's Eve
43831,New Year
43832,New Year
43833,New Year
43843,Adults' Day
43872,National Foundation Day
43910,Vernal Equinox
43950,Showa Day
43955,Mon after Constitution Memorial Day
43956,Greenery Day [Transfer]
43957,Childrens Day [Transfer]
44032,Marine Day
44054,Mountain Day
44095,Respect for the Aged Day
44096,Autumnal Equinox
44116,Sports Day
44138,Culture Day
44158,Labour Thanksgiving Day
44188,Emperor's Birthday
44196,New Year's Eve
44197,New Year
44198,New Year
44199,New Year
44207,Adults' Day
44238,National Foundation Day
44275,Vernal Equinox
44315,Showa Day
44319,Constitution Memorial Day
44320,Greenery Day
44321,Childrens Day
44396,Marine Day
44419,Mountain Day
44459,Respect for the Aged Day
44462,Autumnal Equinox
44480,Sports Day
44503,Culture Day
44523,Labour Thanksgiving Day
44553,Emperor's Birthday
44561,New Year's Eve
44562,New Year
44563,New Year
44564,New Year
44571,Adults' Day
44603,National Foundation Day
44641,Vernal Equinox
44680,Showa Day
44684,Constitution Memorial Day
44685,Greenery Day
44686,Childrens Day
44760,Marine Day
44784,Mountain Day
44823,Respect for the Aged Day
44827,Autumnal Equinox
44844,Sports Day
44868,Culture Day
44888,Labour Thanksgiving Day
44918,Emperor's Birthday
44926,New Year's Eve
44927,New Year
44928,New Year
44929,New Year
44935,Adults' Day
44968,National Foundation Day
45006,Vernal Equinox
45045,Showa Day
45049,Constitution Memorial Day
45050,Greenery Day
45051,Childrens Day
45124,Marine Day
45149,Mountain Day
45187,Respect for the Aged Day
45192,Autumnal Equinox
45208,Sports Day
45233,Culture Day
45253,Labour Thanksgiving Day
45283,Emperor's Birthday
45291,New Year's Eve
45292,New Year
45293,New Year
45294,New Year
45299,Adults' Day
45334,Mon after National Foundation Day
45371,Vernal Equinox
45411,Showa Day
45415,Constitution Memorial Day
45416,Greenery Day
45418,Mon after Childrens Day
45488,Marine Day
45515,Mountain Day
45551,Respect for the Aged Day
45558,Mon after Autumnal Equinox
45579,Sports Day
45600,Mon after Culture Day
45619,Labour Thanksgiving Day
45649,Emperor's Birthday
45657,New Year's Eve
45658,New Year
45659,New Year
45660,New Year
45670,Adults' Day
45699,National Foundation Day
45736,Vernal Equinox
45776,Showa Day
45780,Constitution Memorial Day
45782,Mon after Greenery Day
45783,Childrens Day [Transfer]
45859,Marine Day
45880,Mountain Day
45915,Respect for the Aged Day
45923,Autumnal Equinox
45943,Sports Day
45964,Culture Day
45985,Mon after Labour Thanksgiving Day
46014,Emperor's Birthday
46022,New Year's Eve
46023,New Year
46024,New Year
46025,New Year
46034,Adults' Day
46064,National Foundation Day
46101,Vernal Equinox
46141,Showa Day
46146,Mon after Constitution Memorial Day
46147,Greenery Day [Transfer]
46148,Childrens Day [Transfer]
46223,Marine Day
46245,Mountain Day
46286,Respect for the Aged Day
46287,National Holiday
46288,Autumnal Equinox
46307,Sports Day
46329,Culture Day
46349,Labour Thanksgiving Day
46379,Emperor's Birthday
46387,New Year's Eve
USD,110
42370,New Year
42387,Martin Luther King's Day
42415,Washington Day
42520,Memorial Day
42555,Independence Day
42618,Labor Day
42653,Columbus Day
42685,Veterans Day
42698,Thanksgiving Day
42730,Mon after Christmas
42737,Mon after New Year
42751,Martin Luther King's Day
42786,Washington Day
42884,Memorial Day
42920,Independence Day
42982,Labor Day
43017,Columbus Day
43050,Veterans Day
43062,Thanksgiving Day
43094,Christmas
43101,New Year
43115,Martin Luther King's Day
43150,Washington Day
43248,Memorial Day
43285,Independence Day
43346,Labor Day
43381,Columbus Day
43416,Mon after Veterans Day
43426,Thanksgiving Day
43459,Christmas
43466,New Year
43486,Martin Luther King's Day
43514,Washington Day
43612,Memorial Day
43650,Independence Day
43710,Labor Day
43752,Columbus Day
43780,Veterans Day
43797,Thanksgiving Day
43824,Christmas
43831,New Year
43850,Martin Luther King's Day
43878,Washington Day
43976,Memorial Day
44016,Independence Day
44081,Labor Day
44116,Columbus Day
44146,Veterans Day
44161,Thanksgiving Day
44190,Christmas
44197,New Year
44214,Martin Luther King's Day
44242,Washington Day
44347,Memorial Day
44382,Mon after Independence Day
44445,Labor Day
44480,Columbus Day
44511,Veterans Day
44525,Thanksgiving Day
44555,Christmas
44562,New Year
44578,Martin Luther King's Day
44613,Washington Day
44711,Memorial Day
44746,Independence Day
44809,Labor Day
44844,Columbus Day
44876,Veterans Day
44889,Thanksgiving Day
44921,Mon after Christmas
44928,Mon after New Year
44942,Martin Luther King's Day
44977,Washington Day
45075,Memorial Day
45111,Independence Day
45173,Labor Day
45208,Columbus Day
45241,Veterans Day
45253,Thanksgiving Day
45285,Christmas
45292,New Year
45306,Martin Luther King's Day
45341,Washington Day
45439,Memorial Day
45477,Independence Day
45537,Labor Day
45579,Columbus Day
45607,Veterans Day
45624,Thanksgiving Day
45651,Christmas
45658,New Year
45677,Martin Luther King's Day
45705,Washington Day
45803,Memorial Day
45842,Independence Day
45901,Labor Day
45943,Columbus Day
45972,Veterans Day
45988,Thanksgiving Day
46016,Christmas
46023,New Year
46041,Martin Luther King's Day
46069,Washington Day
46167,Memorial Day
46207,Independence Day
46272,Labor Day
46307,Columbus Day
46337,Veterans Day
46352,Thanksgiving Day
46381,Christmas
GBP,88
42370,New Year
42454,Good Friday
42457,Easter Monday
42492,May Day Bank Holiday
42520,Spring Bank Holiday
42611,August Bank Holiday
42730,Mon after Christmas
42731,Boxing Day [Transfer]
42737,Mon after New Year
42839,Good Friday
42842,Easter Monday
42856,May Day Bank Holiday
42884,Spring Bank Holiday
42975,August Bank Holiday
43094,Christmas
43095,Boxing Day
43101,New Year
43189,Good Friday
43192,Easter Monday
43227,May Day Bank Holiday
43248,Spring Bank Holiday
43339,August Bank Holiday
43459,Christmas
43460,Boxing Day
43466,New Year
43574,Good Friday
43577,Easter Monday
43591,May Day Bank Holiday
43612,Spring Bank Holiday
43703,August Bank Holiday
43824,Christmas
43825,Boxing Day
43831,New Year
43931,Good Friday
43934,Easter Monday
43955,May Day Bank Holiday
43976,Spring Bank Holiday
44074,August Bank Holiday
44190,Christmas
44193,Mon after Boxing Day
44197,New Year
44288,Good Friday
44291,Easter Monday
44319,May Day Bank Holiday
44347,Spring Bank Holiday
44438,August Bank Holiday
44557,Mon after Christmas
44558,Boxing Day [Transfer]
44564,Mon after New Year
44666,Good Friday
44669,Easter Monday
44683,May Day Bank Holiday
44711,Spring Bank Holiday
44802,August Bank Holiday
44921,Mon after Christmas
44922,Boxing Day [Transfer]
44928,Mon after New Year
45023,Good Friday
45026,Easter Monday
45047,May Day Bank Holiday
45075,Spring Bank Holiday
45166,August Bank Holiday
45285,Christmas
45286,Boxing Day
45292,New Year
45380,Good Friday
45383,Easter Monday
45418,May Day Bank Holiday
45439,Spring Bank Holiday
45530,August Bank Holiday
45651,Christmas
45652,Boxing Day
45658,New Year
45765,Good Friday
45768,Easter Monday
45782,May Day Bank Holiday
45803,Spring Bank Holiday
45894,August Bank Holiday
46016,Christmas
46017,Boxing Day
46023,New Year
46115,Good Friday
46118,Easter Monday
46146,May Day Bank Holiday
46167,Spring Bank Holiday
46265,August Bank Holiday
46381,Christmas
46384,Mon after Boxing Day
EUR,66
42370,New Year
42454,Good Friday
42457,Easter Monday
42491,Labour Day
42729,Christmas
42730,Christmas
42736,New Year
42839,Good Friday
42842,Easter Monday
42856,Labour Day
43094,Christmas
43095,Christmas
43101,New Year
43189,Good Friday
43192,Easter Monday
43221,Labour Day
43459,Christmas
43460,Christmas
43466,New Year
43574,Good Friday
43577,Easter Monday
43586,Labour Day
43824,Christmas
43825,Christmas
43831,New Year
43931,Good Friday
43934,Easter Monday
43952,Labour Day
44190,Christmas
44191,Christmas
44197,New Year
44288,Good Friday
44291,Easter Monday
44317,Labour Day
44555,Christmas
44556,Christmas
44562,New Year
44666,Good Friday
44669,Easter Monday
44682,Labour Day
44920,Christmas
44921,Christmas
44927,New Year
45023,Good Friday
45026,Easter Monday
45047,Labour Day
45285,Christmas
45286,Christmas
45292,New Year
45380,Good Friday
45383,Easter Monday
45413,Labour Day
45651,Christmas
45652,Christmas
45658,New Year
45765,Good Friday
45768,Easter Monday
45778,Labour Day
46016,Christmas
46017,Christmas
46023,New Year
46115,Good Friday
46118,Easter Monday
46143,Labour Day
46381,Christmas
46382,Christmas
